info,name,title
"　　在西山煤电马兰矿调度指挥中心，工作人员通过电子大屏可以了解作业现场情况。本报记者王佳丽摄
在5G、人工智能、工业互联网等新一代信息技术与实体经济深度融合的浪潮下，传统煤炭行业正经历着前所未有的智能化变革。",山西经济日报数字报,【AI赋能 奔赴未来】“智”采乌金 “慧”见未来
"　　本报讯（记者张婷）端午节来临，为确保游客度过一个安全、愉快的假期，省文旅厅温馨提示广大游客合理规划出行、关注安全防范、做好健康防护、践行文明公约。
合理规划出行。",山西日报数字报,【我们的节日·端午】省文旅厅发布出游提示
　　本报讯（记者朱慧）5月27日至30日，山西省作家协会、中国赵树理研究会组织开展“纪念延安文艺座谈会召开83周年暨抗战胜利80周年”主题采风活动。全省文学文化界30余位作家、学者和文艺工作者，奔赴沁水、阳城、陵川等地，探寻历史印记，汲取创作灵感，以笔为媒、以文传情。,山西日报数字报,省作协赴沁水三县开展红色文学采风
"　　本报讯（记者高桦）5月30日，省水利厅召开2025年入汛动员部署专题会议，进一步贯彻落实党中央和省委、省政府及水利部关于防汛工作的部署要求，对各级水利部门及各有关单位进行再动员再安排。
会议强调，自6月1日8时起，我省正式进入汛期。",山西日报数字报,我省6月1日8时正式上汛
　　本报讯 5月28日，省扫黑除恶斗争领导小组召开第十三次会议。省委常委、政法委书记、省扫黑除恶斗争领导小组组长郑连生主持会议并讲话。,山西日报数字报,省扫黑除恶斗争领导小组召开第十三次会议
　　本报讯（记者杨文俊）5月30日，全省高校党的建设工作暨高校党建工作规范提升专项行动动员部署会在太原召开。会议深入贯彻落实全国教育大会、第二十八次全国高校党的建设工作会议以及全省教育大会精神，对当前和今后一个时期全省高校党的建设，特别是全省高校党建工作规范提升专项行动进行安排部署。,山西日报数字报,全省高校党的建设工作暨高校党建工作规范提升专项行动动员部署会召开
　　本报讯（记者杨文俊）5月29日，省纪委监委召开会议，听取省直相关部门16个全国性民生实事项目进展情况汇报。省委常委、省纪委书记、省监委主任王拥军出席会议并讲话。,山西日报数字报,省纪委监委召开全国性民生实事项目推进会
　　本报讯 中共中央批准：卢东亮同志任山西省委副书记。,山西日报数字报,卢东亮同志任山西省委副书记
"　　扫描二维码查看详情
本报讯（记者程国媛）5月30日，中央第一生态环境保护督察组向我省交办的第二批信访举报件，共51件，其中重点关注件3件。
按区域和部门划分，太原市17件（+1）、大同市3件、朔州市3件、忻州市1件、吕梁市6件、晋中市8件、阳泉市4件、长治市3件、临汾市5件、运城市1件。",山西日报数字报,【第三轮中央生态环境保护督察】中央第一生态环境保护督察组向我省交办第二批群众信访举报件情况
　　本报讯（记者郭宁）5月30日下午，省政协党组召开扩大会议暨理论学习中心组学习会议，传达学习贯彻习近平总书记近期重要文章、重要讲话重要指示精神，学习贯彻5月22日、5月30日省委常委会会议精神，安排部署政协贯彻落实工作。省政协党组书记、主席张春林主持并讲话。,山西日报数字报,省政协党组召开扩大会议暨理论学习中心组学习会议
"　　督察进驻时间：2025年5月28日—6月28日
受理举报电话：0351-2022698
受理举报信箱：山西省太原市A292号邮政信箱
受理举报电话时间：8:00—20:00.",山西日报数字报,中央第一生态环境保护督察组群众信访举报受理方式公告
　　本报讯 5月30日，省委常委会召开会议，传达学习贯彻习近平总书记对精神文明建设工作的重要指示和致中国少年先锋队第九次全国代表大会贺信精神，研究部署全省防汛抗旱、防灾减灾、夏粮生产、高考和高校毕业生就业等工作。省委书记唐登杰主持会议。,山西日报数字报,深入学习贯彻习近平总书记重要指示精神
　　本报讯（记者 何宝国）5月29日，省发展改革委、省卫生健康委、省教育厅、省财政厅发布《关于完善普惠托育服务收费政策的通知》，支持扩大普惠托育服务供给，有效减轻人民群众托育负担。记者了解到，我市已制定公办示范性综合托育机构保育费收费标准。,太原晚报,支持扩大供给 减轻群众负担
"　　本报讯 为进一步激发消费潜能，大力提振消费，促进数字经济与实体经济深度融合，深入推进“名品出晋”网络品牌培育行动，助力山西特色产业转型升级和外贸优品触网拓市，6月1日至30日，省商务厅组织开展2025“晋情消费 品质生活”6·18专题促消费活动。

	省市县联动，鼓励各市、县商务部门结合当地风俗习惯、文旅资源和特色产业，组织本地电商平台、电商企业、实体商业、乡村e镇等市场主体，通过满减促销、限时抢购、拼团活动、直播带货等方式，开展形式多样、线上线下融合的促销活动，营造浓厚购物氛围，释放消费潜力、促进消费升级，提高山西产品知名度和市场占有率。",太原日报,6·18专题促消费活动来了
　　青兰高速公路（G22）佛儿崖隧道、半沟隧道病害处治工程，定于2025年6月4日至9月26日进行施工，施工周期为115日。为保证通行安全，施工期间将分两个阶段对该路段采取限制车辆通行的交通管制措施。,山西新闻网,山西省公安厅关于青兰高速公路（南辛店收费站至乡宁收费站）交通管制的通告
"　　粽叶裹乡愁 山河载诗情

	又是一年端午至

	山西曾是诗人对酒吟风的驿站

	是乡民采艾祈愿的故土

	而今 古人的风雅化作山间的流云

	旧时的民俗凝成街巷的烟火

	不妨循着诗词里的墨痕

	踏过汾河水的波纹

	在山西的端午里

	与历史撞个满怀

	与山河共醉一场

	

	菩萨蛮·端午日咏盆中菊

	清·顾太清

	薰风殿阁樱桃节，碧纱窗下沈檀爇。

	小扇引微凉，悠悠夏日长。",山西新闻联播,粽叶裹乡愁 山河载诗情——山西端午的诗意穿越指南
"　　2025年端午假期

	自5月31日开始，至6月2日结束

	共3天

	

	端午期间天气以多云天气为主，气温适宜。今年“端午”期间，山西各地将举办丰富多彩的文旅活动，包括龙舟赛、民俗文化节、音乐演出、传统手工艺展示等，进一步激发省内游、周边游的出行需求，且近年来公众出行意愿强烈，全省路网流量将显著增加，端午假期我省高速路网交通状况做出以下预判。",山西云媒体,端午假期如何出行？服务指南来了！
　　万里山河，铺展华夏文明的壮阔画卷；岁月流转，铭刻历史深处的悠远回响。踏上三晋大地，沿着纵横交错的旅游公路，从雄关漫道到古城烟火，从青山碧水到人文胜迹，每一步都是与历史的对话，每一景皆是天地的馈赠。,黄河新闻网,万里山河路，三晋风华长
