info,name,title
　　本报讯（记者沈佳）奥运攻关技术创新联合体近日在北京正式成立。山西省体育科学研究所作为核心成员单位现场签约，标志着我省体育科技力量深度融入国家级奥运备战体系，为2028年洛杉矶奥运会备战周期注入新动能。,山西日报数字报,省体科所加盟国家级创新联合体
"　　扫描二维码查看详情
本报讯（记者程国媛）6月1日，中央第一生态环境保护督察组向我省交办的第四批信访举报件，共40件，其中重点关注件1件。
按区域划分，太原市9件、大同市7件、朔州市2件、忻州市1件、吕梁市1件、晋中市5件、阳泉市2件、长治市3件、晋城市1件、临汾市7件、运城市2件。",山西日报数字报,【第三轮中央生态环境保护督察】中央第一生态环境保护督察组向我省交办第四批群众信访举报件情况
"　　督察进驻时间：2025年5月28日—6月28日
受理举报电话：0351-2022698
受理举报信箱：山西省太原市A292号邮政信箱
受理举报电话时间：8:00—20:00.",山西日报数字报,中央第一生态环境保护督察组群众信访举报受理方式公告
"　　本报讯 5月29日，山西出入境边防检查总站执勤一队依托驻地红色教育、优秀传统文化资源，组织民警前往太原市碑林公园廉政教育基地开展以“粽叶飘香 清廉端午”为主题的参观见学活动，在碑刻文化中探寻廉洁基因，以沉浸式体验筑牢廉洁思想防线。
参观中，民警驻足观赏《于清端公政书碑》等与山西廉吏相关的碑刻；细心品读“勤能补拙，俭能养廉”“廉不言贫，勤不言苦”等历史名家碑刻的深厚文化底蕴。",山西日报数字报,山西出入境边防检查总站开展参观见学活动
　　本报讯（记者张婷 实习生王雅婧）5月30日，“晋享清凉 活力一夏”山西文旅夏季主题活动在晋城市陵川县王莽岭景区启动。启动仪式上，省文旅厅推出4条端午主题旅游线路，发布全省11市端午节特色活动及优惠政策，诚邀国内外游客畅游三晋大地，开启独特的清凉夏日之旅。,山西日报数字报,“晋享清凉 活力一夏”山西文旅夏季主题活动启动
　　本报讯（记者晋帅妮）近日，省住建厅发布通知，启动2025年山西省“好房子”设计竞赛。此次竞赛以“安舒绿智艺相融，共筑三晋好房梦”为主题，旨在响应“好房子”建设需求，推动住房设计从“有居”向“优居”转变，探索符合山西地域特色的“好房子”设计方案，满足人民群众对优质住房的新期待。,山西日报数字报,山西省“好房子”设计竞赛开始报名
　　5月30日，长治市潞州区，石圪节煤矿高高的井架仍然耸立在原来的位置。它曾日夜运转，将100多米深井下的煤炭送往地面。,山西日报数字报,【文化中国行——聚焦山西工业遗产 弘扬工业文化精神】让工业遗产在新时代绽放新光彩
"　　本报讯（记者李全宏）5月29日，记者获悉，《自然资源领域推动中部地区崛起工作实施方案》（以下简称《方案》）已由省自然资源厅印发各地实行，该方案旨在充分发挥自然资源领域推动中部地区崛起的规划引领、要素支撑作用。
《方案》明确2025年着力完成目标：构建“两统一”下自然资源管理和国土空间规划“一张图”。",山西日报数字报,我省出台方案为中部地区崛起提供自然资源支撑
"　　五月末的山西，微风徐徐，又充满躁动，一场黄河岸边的“速度与激情”点燃了即将来临的盛夏。

	黄河岸畔，引擎轰鸣。",新华网,黄河岸畔闯出农文体旅融合新“赛道”
"　　5月30日，省、市妇联在万柏林区紫郡小学开展“六一”慰问活动，向少年儿童送上节日的问候和美好的祝愿。

	学校处处洋溢着节日氛围，孩子们一个个朝气蓬勃、活力四溢，表演的开场舞《我的祖国》庄重而热烈。",太原日报,省市妇联开展慰问活动
"　　本报讯（记者李炼）为深入贯彻落实习近平总书记在民营企业座谈会上的重要讲话精神，进一步学习宣传民营经济促进法，充分发挥民营经济统战工作协调机制作用，5月28日，省工商联联合省司法厅、省检察院、省民营经济发展局举办“规范涉企执法 促进民营经济高质量发展”座谈交流活动。
会议通报了我省推进规范涉企行政执法专项行动工作情况，全省检察机关开展“违规异地执法和趋利性执法司法专项监督”工作情况和第一季度民营企业诉求办理情况。",山西日报数字报,省工商联举办“规范涉企执法 促进民营经济高质量发展”座谈交流活动
"　　本报讯 5月29日，记者获悉，以“赋能创业培训，激发创业活力”为主题的山西省第六届马兰花创业培训讲师大赛启动。
本次大赛由省人社厅主办，省就业服务局承办，旨在深入实施创业培训“马兰花计划”，为我省创业培训讲师搭建综合性赛事服务平台，带动提升创业培训水平。",山西日报数字报,第六届马兰花创业培训讲师大赛启动
