info,name,title
"　　参赛选手制作的太空车模型正在挑战双重障碍赛道。
5月25日上午8时，由山西省科学技术协会、共青团山西省委主办，山西省科学技术馆承办的第十一届全国青年科普创新实验暨作品大赛（山西赛区）复赛在太原市成成中学校（晋源校区）火热开赛。",山西日报数字报,【我在新闻现场】第十一届全国青年科普创新实验暨作品大赛（山西赛区）——让科创梦想飞得更高
　　本报讯（记者张丽媛）受高空槽东移影响，预计30日—31日我省有一次降水天气过程。端午节期间，全省无高温天气，前期多阵性降水天气，后期风力较大。,山西日报数字报,端午节期间我省多阵性降水天气
　　本报讯（记者杨文俊）近日，经省委批准，全省对村巡察工作推进会召开。省委常委、省委巡视工作领导小组组长王拥军讲话，省委常委、省委巡视工作领导小组副组长胡立杰主持会议。,山西日报数字报,全省对村巡察工作推进会召开
　　本报讯（记者张毅）5月29日，省安委办联合太原市安委会、山西交控集团在晋阳湖国际会议中心广场，举办全省“安全生产月”启动仪式暨“安全宣传咨询日”活动。副省长林红玉出席并宣布活动启动。,山西日报数字报,全省“安全生产月”活动启动
　　本报讯 5月29日，全省戏剧创作和人才培养工作座谈会在太原召开，省委常委、宣传部部长张碧涌出席并讲话。我省艺术家代表，相关地市宣传部和省直宣传思想文化单位负责人参加。,山西日报数字报,全省戏剧创作和人才培养工作座谈会在太原召开
　　本报讯（记者郭慧）近日，国家新闻出版署公布第五届中国报业创新发展案例名单，共有60个案例入选。其中，由山西省委宣传部推荐、山西日报社申报的“山西日报客户端《好好学习》栏目”入选内容供给创新类案例。,山西日报数字报,“山西日报客户端《好好学习》栏目”入选第五届中国报业创新发展案例
"　　本报讯（记者沈佳）2025年全国科技工作者日山西主场活动5月29日在太原举行，为全省科技工作者送上节日祝福。
今年的活动以“矢志创新发展，建设科技强国”为主题，多部门协同联动，聚焦弘扬科学家精神、为科技工作者办实事、AI科技创新成果展示等核心内容，集中展示我省弘扬科学家精神、推动创新驱动发展取得的成果，营造全社会支持科技事业发展、爱护科技人才的浓厚氛围。",山西日报数字报,全国科技工作者日山西主场活动举行
"　　本报讯（记者孟婷）5月28日，记者从邮储银行山西省分行获悉，该行实现首笔单一资产池业务突破——为山西四建集团客户办理银承、保证金资产入池下的银行承兑汇票签发，有效解决企业短期融资需求。
此次合作中，该行在总行的支持下，单笔业务时效性做到申报“T+0”、审批“T+0”的“邮储速度”。",山西日报数字报,邮储银行在晋落地首笔单一资产池融资业务
"　　本报讯（记者张婷 实习生王雅婧）5月28日，2025部省合作——山西文化年“超级好风光”日本文艺旅山西采风踩线座谈会在山西省歌舞剧院举行，中日双方嘉宾齐聚一堂，共绘文化交流与旅游合作新蓝图。
舞蹈《千年游》率先登场，拉开交流演出的序幕。",山西日报数字报,日本文艺旅山西采风踩线座谈会举办
"　　扫描二维码查看详情

	 

	2025年5月29日，中央第一生态环境保护督察组向我省交办的第一批信访举报件，共31件，其中重点件3件。

	按区域和部门划分，太原市1件、大同市4件、朔州市2件、忻州市3件、吕梁市5件、晋中市8件、阳泉市1件、长治市0件、晋城市2件、临汾市0件、运城市5件、综改示范区0件、省直单位0件。",山西日报数字报,【第三轮中央生态环境保护督察】中央第一生态环境保护督察组向我省交办第一批群众信访举报件情况
"　　在全党开展深入贯彻中央八项规定精神学习教育，是以习近平同志为核心的党中央作出的重大决策部署。
学习教育开展以来，在省委的坚强领导下，省委党的建设工作领导小组统筹协调，全省各级党组织切实把思想和行动统一到习近平总书记和党中央决策部署上来，充分认识开展学习教育的重要意义，坚定扛牢政治责任，精心组织实施，确保学习教育有力有序推进，广大党员干部在学习教育中锤炼坚强党性、凝聚奋进力量，为推动高质量发展和现代化建设提供坚强作风保障。",山西日报数字报,【锲而不舍落实中央八项规定精神】学有质量 查有力度 改有成效 以优良作风凝心聚力干事创业
"　　督察进驻时间：2025年5月28日—6月28日
受理举报电话：0351-2022698
受理举报信箱：山西省太原市A292号邮政信箱
受理举报电话时间：8:00—20:00.",山西日报数字报,中央第一生态环境保护督察组群众信访举报受理方式公告
"　　本报讯（记者郭宁）5月28日，省政协主席张春林带领调研组围绕“推进校园足球振兴发展”深入太原市阳曲县足球基地、万柏林区河北街小学、省全民健身中心体育场、省实验中学、山西师范大学等地开展专题调研，并走访了阳曲县政协机关。
张春林指出，要提高政治站位，深入学习贯彻习近平总书记关于足球工作的重要指示精神，站在为人民健康筑基、为民族复兴聚力、为社会发展赋能、为强国建设育人的高度，切实增强推动足球振兴发展的责任感、使命感。",山西日报数字报,张春林在太原市调研校园足球工作
"　　5月29日, 2025年山西省“奔跑吧·少年”儿童青少年主题健身活动启动仪式在晋中市榆次区实验小学举行。启动仪式上还进行了柔力球、广播操、篮球、街舞、书画展等展演。",山西日报客户端,2025年山西省“奔跑吧·少年”儿童青少年主题健身活动启动
"　　为积极开发基层工作岗位,促进高校毕业生充分就业,加强社区工作力量,决定面向2025届高校毕业生公开招募社区助理。本年度计划招募社区助理3000名,安排在各县(市、区)社区从事社区相关工作。3.报名材料:山西省2025年招募高校毕业生担任社区助理报名登记表》扫描件或照片.各县(市、区)党委社会工作部组织街道(乡镇)与招募人选签订《山西省招募高校毕业生担任社区助理服务协议书》。",山西日报客户端,3000人！2025年山西省招募社区助理公告来了！
　　本报讯 5月29日消息，全省所有正常生产（建设）的井工煤矿必须按规定实现双回路供电，并配备可随时启用的应急电源。煤与瓦斯突出煤矿、高瓦斯煤矿或安全出口均为立井的煤矿于2026年6月底前配置完成。,太原日报,全省煤矿配置应急电源
　　本报讯 5月29日，省医保局发布消息，我省全面实现生育津贴直接发放至参保女职工。这一举措优化了生育津贴领取流程，切实减轻家庭生育负担，增强了参保女职工的获得感、幸福感。,太原日报,生育津贴直发个人
